id,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7,Class_8,Class_9
1,8.134555130153599e-05,0.346620937421853,0.43688102303579945,0.13951195233557967,2.524404721137879e-14,0.0006505538132740948,0.07624896416042233,1.5613926233250006e-06,3.6622891213856595e-06
2,0.0002657780057972554,1.907038038582689e-05,4.77953886720953e-07,4.2577687119007554e-07,1.3489128925963496e-09,0.0006058962325522065,0.0007152088877419734,0.9983592963766134,3.384503723860395e-05
3,1.4914164601408145e-05,6.317812544161623e-06,1.1121603074296459e-08,0.5299299260608898,4.807024814519591e-11,0.46574994398718056,0.004193630477408807,7.169595869444632e-05,3.356036900741156e-05
4,0.13532409220134747,0.2551021739174663,0.08910867562454018,0.009401250879373792,0.05513899218290567,0.043627911625795726,0.0493946631583894,0.11900147813435798,0.24390076227582336
5,1.3561912188954465e-06,0.5329646380379794,0.33399462432855925,0.12895359782526827,1.9585045089960337e-11,2.1312905933853273e-05,0.0040624235869723925,2.2456106976539708e-07,1.8225434131955341e-06
6,2.0855215234422766e-06,0.8964491136102909,0.09742220389573542,0.003428488251340956,0.0020242603092164788,6.950412092079258e-05,0.0004885652882635751,0.0001086143591205826,7.164643587905162e-06
7,5.919372011593254e-10,0.8996656533193709,0.09512505246713891,0.005209233264530669,1.6651466822019635e-08,2.411683334902348e-09,3.739759980919949e-08,7.759531334729817e-10,3.1203191027372796e-09
8,6.96067497036941e-17,0.9084141356571205,0.04544080971547546,0.04614504704829409,4.920597192187807e-15,2.3809705875779753e-13,7.578864142986432e-09,5.069311898180927e-16,2.2151090631922026e-15
9,1.9378842057857388e-07,0.39395882443234825,0.5807073209038589,0.013168325039020969,7.060987061989516e-12,4.0225485125975357e-05,0.012123556355890486,1.488129722843149e-06,6.585855099762204e-08
10,1.6375283407725078e-05,0.4477500683840333,0.4734374956141028,0.07548336712470229,0.0002685036936991929,0.00031552481553336287,0.002409527950346235,0.0001351174563798303,0.00018401967779524053
11,0.14079635760729378,0.0005139808682542465,1.9279246221402987e-05,0.00044648419938605956,9.837387269891671e-06,0.6392171476820337,0.011899199001708424,0.02188301751576263,0.1852146964920698
12,0.0026674583779778267,1.1763155856900256e-05,2.6915834439123087e-05,3.721252265340822e-05,8.461562883187085e-10,0.006541805928703472,0.00018809443227378844,0.9824421616564154,0.008084587245523687
13,7.714030260301771e-05,0.623366935484844,0.35259080477057303,0.0026035816046992366,0.0020425660502692224,0.002692981343052995,0.0046297003019255024,0.0119615103645206,3.47797775124668e-05
14,0.0030484722037655374,3.2283667979197474e-06,8.09368090977772e-06,3.283428592700701e-09,1.7459763913008923e-15,0.007760212309134882,0.028668045981929714,0.9597995902367245,0.0007123539373074196
15,1.5047492157740246e-10,4.55161171449184e-06,3.304519547320007e-07,5.651437962479562e-07,0.999994550371906,3.3876656299677743e-10,6.438001084550608e-10,1.0756807984795682e-09,2.1190610453173808e-10
16,1.694848371867117e-07,0.00013060868667631105,1.1162045831742817e-05,0.00035208075048803885,5.501567169073971e-13,0.242338021028396,0.7570430677316983,0.0001233177902799628,1.5724812421565638e-06
17,0.00015103933378756177,0.0007081984953325105,0.0026471645000072847,6.001935744035482e-06,1.2305876766254975e-07,0.9868392888256065,0.001703980543704685,0.004137775606875082,0.003806427700174598
18,0.0014550243387776163,0.5554777872711963,0.28591131838550526,0.11613341481262998,0.004327498104205074,0.013009014477008071,0.013961162961618215,0.003195828026572347,0.006528951622487185
19,0.0034600945745582273,0.7268381553612123,0.19115334180437715,0.017064901631708193,0.03484137291870491,0.004333338782549285,0.006101676305547689,0.010107921056901798,0.00609919756444021
20,2.5622089847894265e-12,0.39328159270648444,0.3329014273699641,0.2738006825409158,3.718456373471571e-17,9.90515526285525e-10,1.6296279273250333e-05,1.8557612161521357e-11,9.172712677016966e-11
21,0.021345481915954412,2.5672089613501786e-11,4.453879148005791e-16,2.42817750378122e-07,7.587339773875097e-13,0.9749082868594217,0.00036359468096661623,2.390365527488571e-05,0.0033584900442008426
22,0.0004255237934400567,1.3889085843306706e-08,1.5444287504519235e-12,1.3795272982095797e-06,4.1734267698624377e-10,0.9966410819530405,0.0028472610133381733,6.177442635261026e-05,2.2964978557530697e-05
23,2.8613660286366836e-07,0.4500849713862724,0.5472140396119958,7.259226269299886e-05,0.00043806436395022293,0.0003425870488309972,0.0001720376793075704,0.001675367544467153,5.3965879987711123e-08
24,2.0468458177217924e-11,1.8303939917790036e-07,9.408485863536199e-07,7.07625102185107e-19,5.7834026046683375e-27,2.1827404428640245e-05,0.0008294971361322339,0.999147548455002,3.095983097762442e-09
25,0.0005226641497714185,3.7649669369795325e-10,3.3656012285056366e-15,0.0006502862430307778,3.2974285165291504e-09,0.9973983173731621,0.0011196566124012121,0.00026713650088842927,4.193544681748754e-05
26,9.964853561244374e-12,0.5304082319098855,0.4658405962621954,0.00375116273433864,6.436225493127344e-10,1.9033147241748255e-10,7.908668024384343e-09,6.575672687327721e-11,2.752366553561713e-10
27,0.474717870332037,0.004131444418444577,0.00023765933156587985,0.0004922024546766361,4.4794931569211174e-05,0.16698609031512018,0.031489727814085204,0.17636567088720118,0.14553453951530027
28,0.021334536284641433,0.5642460844738317,0.14804213798751084,0.05218919741418041,0.02033704866741511,0.026425851002378216,0.06293959443734216,0.04534423040397566,0.059141319328724545
